> Miller, K.G. et al, 2024. Global mean and relative sea-level changes over the past 66 Myr: implications for early Eocene ice sheets. Earth Science, Systems and Society, 4(1), p.10091.
> Age (Ma)	sea level (m)
0.77656492	-17.18239542
0.77965243	-14.24454286
0.78258089	-13.08814814
0.78532793	-19.62659858
0.78741712	-35.02201302
0.7892351	-41.23479696
0.79281153	-31.49705846
0.7948328	-73.39858776
0.79825902	-70.41851313
0.80196395	-68.61950102
0.80533038	-57.4203021
0.80797926	-59.16967971
0.81003498	-38.02884285
0.81219067	-55.62731433
0.81450559	-50.92914609
0.81654748	-43.31135033
0.81903614	-33.95107596
0.82158615	-25.19287129
0.82388237	-40.39041708
0.83218798	-36.32182896
0.83481809	-35.16451484
0.8374382	-36.91392525
0.84005704	-32.85657243
0.84267522	-20.11215094
0.84529477	-14.34327833
0.84791488	-17.26370557
0.850797	-24.80247557
0.85341711	-35.78574078
0.85662902	-9.852742264
0.86066622	-11.62950911
0.86377957	-30.0568512
0.86692548	-59.91504924
0.869956	-58.74229186
0.87334816	-78.74797336
0.87631619	-72.9807812
0.8786487	-78.08644296
0.88082278	-74.62605917
0.88349634	-65.46567204
0.88616994	-59.74154873
0.88917822	-64.26111093
0.89285362	-62.51576625
0.89728245	-59.06810333
0.90033485	-59.60436209
0.90200032	-36.40993653
0.90343508	-43.18969622
0.90439158	-46.01055561
0.90558743	-42.05474223
0.90678332	-38.66721232
0.90845758	-42.04782104
0.91084856	-42.04183802
0.91586931	-48.20887074
0.92136981	-56.02463444
0.92447826	-63.27163808
0.92643889	-59.33286032
0.92766603	-59.87843092
0.92848924	-47.02028155
0.93186602	-46.44432308
0.93585696	-35.28753854
0.93892667	-30.83848704
0.94209403	-6.413771359
0.94454885	-20.30994735
0.94724976	-13.12579747
0.94957455	-7.614273347
0.9521109	0.093532339
0.95491146	2.810785344
0.95738516	-38.03311209
0.95962583	-23.15586939
0.96525148	-45.15896098
0.96879227	-32.52267635
0.97252672	-27.59442146
0.97626032	-24.3225124
0.97999462	-17.24050398
0.98403368	-30.34362278
0.98860841	-33.60964774
0.99322992	-23.02518069
0.99739156	-31.43651143
1.0020182	-38.18930963
1.0061822	-36.81923794
1.0071076	-45.44472803
1.0112716	-45.94886416
1.0167493	-21.73149146
1.0181373	-36.76502258
1.0237662	-14.24598592
1.0251108	-28.16909417
1.0289915	-25.76041975
1.0298394	-52.20381082
1.0329145	-43.10024477
1.0361507	-55.3324177
1.038576	-58.49713594
1.0407563	-53.68160384
1.0430334	-50.46780096
1.0451897	-44.60631767
1.0472182	-48.30443679
1.0490502	-45.6374337
1.0513288	-42.97128669
1.0536107	-44.54325334
1.0558961	-43.99770442
1.0581739	-41.34031341
1.060228	-35.52168476
1.0623088	-22.32832287
1.0646034	-16.00731941
1.0675308	1.353452047
1.070554	23.40784705
1.0727908	-29.69576306
1.0747401	-34.94294895
1.0766507	0.215359853
1.0782286	-12.90818992
1.0798936	-11.34349042
1.0816546	-24.96939679
1.0832555	-13.977669
1.0848564	-12.93789216
1.0864566	-40.65659051
1.0882167	-45.87319877
1.0899829	-45.86125339
1.0917882	-47.93697475
1.0939787	-39.57654924
